nombre,deporte,edad,peso_kg,altura_cm,frecuencia_cardiaca_bpm,horas_entrenamiento_semana,rendimiento_score,posicion
Carlos Pérez,Fútbol,35.0,105.0,176.0,69.50026329647183,9.6,6.01,Portero
Sofía Hernández,Fútbol,28.0,61.1,166.0,300.0,14.6,2.23,PORTERO
Marisol Figueroa,Natación,32.0,62.9,181.0,55.0,7.9,9.15,Delantero
Patricio Bravo,Rugby,31.12930135557873,82.4,199.0,69.0,5.2,8.45,Delantero
Luis Parra,Natación,32.0,82.0,202.0,300.0,23.2,1.22,Mediocampista
César Sepúlveda,Tenis,26.0,94.8,193.0,78.0,15.9,7.78,ciclista
Francisca Lagos,Rugby,20.0,76.7,174.0,53.0,23.7,1.91,NADADOR
Luis Parra,Voleibol,31.12930135557873,89.4,175.0,50.0,6.6,3.11,Ciclista
Ignacio Peña,Ciclismo,20.0,103.0,169.0,45.0,15.4,5.76,Portero
Alicia Campos,Baloncesto,45.0,88.0,183.0,63.0,17.9,4.36,Delantero
Roberto Castillo,Atletismo,32.0,103.5,173.0,83.0,11.3,8.0,
Cristian Medina,Tenis,36.0,89.9,189.0,65.0,3.9,5.552869109947644,Mediocampista
Paola Romero,Voleibol,19.0,73.2,183.0,55.0,15.7,1.99,Delantero
Natalia Cruz,Fútbol,16.0,99.2,160.0,79.0,8.0,1.42,Corredor
Verónica Aguilar,Fútbol,35.0,63.1,168.0,68.0,12.8,5.81,portero
Paola Romero,Fútbol,37.0,68.7,187.0,69.50026329647183,23.7,6.01,DEFENSA
Juan López,Natación,18.0,94.6,186.0,47.0,8.5,5.87,
Alejandro Núñez,Baloncesto,16.0,99.6,175.0,70.0,6.0,7.27,ATACANTE
Mauricio Vega,Boxeo,34.0,87.6,175.0,69.50026329647183,21.2,8.59,Nadador
Ana Martínez,Atletismo,38.0,91.6,30.0,83.0,7.8,7.29,DEFENSA
Sofía Hernández,Natación,36.0,56.5,182.0,45.0,16.5,1.17,
Juan López,Baloncesto,23.0,89.3,183.0,74.0,17.1,9.9,ATACANTE
María González,Boxeo,34.0,86.3,30.0,59.0,22.3,8.5,Defensa
Gabriela Morales,Fútbol,40.0,98.7,172.0,52.0,17.3,2.62,
Luis Parra,Voleibol,38.0,82.9,161.0,73.0,3.7,7.12,Delantero
Francisca Lagos,Voleibol,29.0,97.4,165.0,65.0,16.8,4.37,Nadador
Francisca Lagos,Natación,20.0,82.9,170.0,69.50026329647183,8.5,5.88,nadador
Luis Parra,Baloncesto,34.0,58.8,183.0,62.0,21.8,9.08,Defensa
Verónica Aguilar,Boxeo,41.0,64.0,172.0,48.0,4.5,9.79,MEDIOCAMPISTA
Alejandro Núñez,Baloncesto,43.0,77.2,196.0,81.0,14.7,1.81,portero
Natalia Cruz,Natación,33.0,69.4,179.5617088607595,69.50026329647183,4.2,1.01,Portero
Pilar Contreras,Ciclismo,19.0,102.6,169.0,58.0,17.7,9.96,Nadador
Marisol Figueroa,Natación,3.0,86.7,160.0,46.0,10.6,4.67,DEFENSA
Pedro Rodríguez,Baloncesto,28.0,74.6,179.0,60.0,6.0,1.03,defensa
Natalia Cruz,Voleibol,35.0,65.5,178.0,70.0,10.1,3.19,Atacante
Roberto Castillo,Natación,41.0,76.5,175.0,56.0,21.5,5.09,Corredor
Patricio Bravo,Baloncesto,30.0,67.9,196.0,52.0,16.1,8.42,PORTERO
Sebastián Rojas,Fútbol,30.0,60.0,196.0,52.0,17.2,2.28,Ciclista
Héctor Suárez,Natación,17.0,81.0,173.0,68.0,24.4,4.69,DELANTERO
Gabriela Morales,Tenis,16.0,100.5,165.0,77.0,14.9,9.89,NADADOR
Héctor Suárez,Tenis,26.0,56.3,162.0,66.0,5.1,6.64,PORTERO
Gonzalo Fuentes,Fútbol,31.12930135557873,64.2,188.0,54.0,6.5,3.22,Mediocampista
Tomás Gutiérrez,Tenis,19.0,64.1,201.0,65.0,9.6,3.32,
Carolina Ríos,Voleibol,44.0,98.9,189.0,48.0,9.9,1.08,Corredor
Juan López,Ciclismo,44.0,92.3,183.0,78.0,21.7,7.02,ciclista
Pedro Rodríguez,Fútbol,26.0,85.3,181.0,73.0,3.5,7.31,DELANTERO
Andrés Flores,Fútbol,43.0,55.0,198.0,66.0,13.1,5.23,defensa
Lorena Mendoza,Atletismo,43.0,97.4,168.0,78.0,16.7,7.43,mediocampista
Patricio Bravo,Voleibol,45.0,88.4,171.0,87.0,21.6,2.45,NADADOR
Andrés Flores,Baloncesto,19.0,82.7,168.0,76.0,17.9,6.31,Defensa
Carlos Pérez,Voleibol,33.0,87.7,179.5617088607595,69.0,14.2,7.48,ciclista
Isabella Castro,Fútbol,22.0,91.8,175.0,79.0,20.0,1.44,Ciclista
Mónica Ortega,Boxeo,45.0,79.5,161.0,76.0,24.2,4.74,
Sebastián Rojas,Natación,39.0,84.9,186.0,68.0,14.1,4.28,CORREDOR
Ana Martínez,Fútbol,41.0,71.0,180.0,88.0,22.6,8.51,delantero 
Pedro Rodríguez,Natación,32.0,60.2,168.0,55.0,11.3,5.92,ATACANTE
Patricio Bravo,Tenis,36.0,97.3,187.0,58.0,17.4,15.0,corredor
Matías Silva,Rugby,27.0,61.7,169.0,53.0,12.0,3.0,ciclista
Mauricio Vega,Boxeo,44.0,83.8,192.0,59.0,8.1,7.34,Corredor
Felipe Muñoz,Baloncesto,23.0,89.9,188.0,65.0,3.1,4.78,Portero
Roberto Castillo,Fútbol,17.0,79.2,174.0,87.0,17.0,2.54,Atacante
Manuel Leal,Voleibol,33.0,88.9,181.0,89.0,7.0,3.82,
Camila Díaz,Voleibol,39.0,57.5,198.0,72.0,16.1,5.552869109947644,CICLISTA
Tomás Gutiérrez,Boxeo,36.0,56.2,171.0,86.0,21.5,8.87,NADADOR
Roberto Castillo,Natación,27.0,93.9,193.0,60.0,19.4,7.6,CICLISTA
Camila Díaz,Natación,33.0,87.9,161.0,57.0,17.1,6.4,
Pedro Rodríguez,Atletismo,26.0,56.1,186.0,5.0,4.2,4.84,Corredor
Nicolás Reyes,Ciclismo,26.0,81.0,186.0,82.0,23.2,8.04,delantero
Valentina Ramírez,Tenis,41.0,83.2,160.0,59.0,3.5,5.12,Delantero
Marisol Figueroa,Boxeo,40.0,70.8,202.0,82.0,6.0,9.29,defensa
Sofía Hernández,Baloncesto,35.0,100.9,179.5617088607595,56.0,18.1,2.17,mediocampista
María González,Voleibol,25.0,78.9,168.0,85.0,12.1,2.03,Delantero
Diego Torres,Voleibol,38.0,93.2,181.0,69.0,8.4,9.0,portero
Valentina Ramírez,Atletismo,16.0,61.2,193.0,50.0,11.0,1.0,portero
Felipe Muñoz,Fútbol,25.0,57.5,179.5617088607595,60.0,21.8,5.19,Defensa
Pedro Rodríguez,Voleibol,39.0,81.4,193.0,52.0,6.1,6.53,MEDIOCAMPISTA
Sebastián Rojas,Rugby,38.0,81.5,167.0,48.0,14.2,4.49,defensa 
Patricia Ramos,Natación,29.0,93.5,198.0,79.0,11.9,2.41,
Fernanda Jiménez,Atletismo,36.0,76.6,179.5617088607595,68.0,21.4,8.17,PORTERO
Gabriela Morales,Fútbol,25.0,74.1,179.5617088607595,58.0,6.2,6.84,portero
Luis Parra,Fútbol,28.0,73.7,158.0,87.0,5.1,1.4,NADADOR
Alejandro Núñez,Voleibol,39.0,104.3,199.0,50.0,19.2,8.97,ATACANTE
Catalina Mora,Voleibol,43.0,102.5,169.0,53.0,3.4,8.61,DELANTERO
Matías Silva,Voleibol,42.0,100.1,202.0,66.0,24.1,7.14,defensa 
Patricia Ramos,Ciclismo,44.0,84.2,162.0,79.0,4.9,7.44,defensa 
Mónica Ortega,Rugby,39.0,70.3,180.0,52.0,19.0,8.77,ATACANTE
Natalia Cruz,Fútbol,19.0,83.7,201.0,63.0,23.5,6.54,
Marisol Figueroa,Natación,20.0,83.6,187.0,81.0,6.9,4.3,DEFENSA
Roberto Castillo,Natación,41.0,66.5,158.0,63.0,21.1,4.18,
Ana Martínez,Tenis,34.0,90.8,197.0,73.0,19.5,6.95,CORREDOR
Sofía Hernández,Ciclismo,16.0,95.3,195.0,64.0,9.0,8.65,delantero 
Enrique Valenzuela,Natación,37.0,62.9,181.0,72.0,20.1,3.62,Ciclista
Carlos Pérez,Voleibol,41.0,61.8,185.0,76.0,21.4,1.22,Delantero
Enrique Valenzuela,Natación,33.0,75.0,169.0,45.0,14.6,9.06,
Tomás Gutiérrez,Tenis,39.0,68.4,183.0,75.0,4.2,4.07,defensa 
Gonzalo Fuentes,Tenis,35.0,60.9,188.0,62.0,11.4,6.1,
Ignacio Peña,Fútbol,43.0,68.9,194.0,75.0,5.1,7.56,ciclista
Verónica Aguilar,Ciclismo,19.0,92.2,169.0,48.0,10.6,4.45,defensa
Gabriela Morales,Fútbol,40.0,86.8,177.0,71.0,8.7,4.08,atacante
César Sepúlveda,Baloncesto,33.0,74.4,174.0,60.0,6.5,6.8,ATACANTE
Patricia Ramos,Natación,4.0,85.4,200.0,85.0,8.3,7.12,defensa 
Daniela Vargas,Baloncesto,24.0,96.5,179.5617088607595,66.0,19.4,3.95,
Gonzalo Fuentes,Ciclismo,17.0,103.6,192.0,55.0,15.4,1.03,corredor
Carlos Pérez,Voleibol,26.0,92.6,195.0,69.50026329647183,6.4,6.43,CORREDOR
Francisca Lagos,Boxeo,28.0,86.8,199.0,51.0,8.1,3.44,DELANTERO
Mauricio Vega,Baloncesto,39.0,76.6,177.0,75.0,19.0,3.55,DELANTERO
Diego Torres,Baloncesto,19.0,78.3,174.0,89.0,4.6,1.09,DEFENSA
Ana Martínez,Natación,33.0,69.6,201.0,71.0,22.1,7.4,
Patricio Bravo,Natación,25.0,103.0,202.0,46.0,6.2,4.91,Portero
Sebastián Rojas,Baloncesto,20.0,85.6,158.0,73.0,16.8,8.17,Atacante
Verónica Aguilar,Natación,29.0,82.2,196.0,69.50026329647183,21.6,3.96,Corredor
Nicolás Reyes,Voleibol,31.12930135557873,56.2,170.0,69.50026329647183,23.3,6.61,PORTERO
Claudia Herrera,Boxeo,44.0,91.3,177.0,63.0,20.6,6.79,PORTERO
Claudia Herrera,Baloncesto,30.0,93.2,186.0,63.0,13.1,6.14,DEFENSA
Mónica Ortega,Baloncesto,26.0,101.4,178.0,70.0,20.4,6.05,Delantero
Verónica Aguilar,Voleibol,39.0,70.0,199.0,60.0,10.3,6.67,defensa
Ignacio Peña,Atletismo,19.0,66.8,187.0,84.0,11.8,4.68,corredor
Carlos Pérez,Tenis,20.0,104.9,197.0,45.0,19.5,8.41,
Sofía Hernández,Baloncesto,39.0,97.0,186.0,63.0,6.5,9.19,MEDIOCAMPISTA
Carlos Pérez,Tenis,41.0,91.8,179.5617088607595,78.0,21.4,7.9,Mediocampista
Eduardo Soto,Voleibol,28.0,88.3,170.0,87.0,13.2,3.76,mediocampista
Verónica Aguilar,Voleibol,24.0,77.6,165.0,53.0,18.2,7.22,CORREDOR
Mónica Ortega,Ciclismo,17.0,85.4,179.5617088607595,46.0,5.3,8.12,Portero
Sebastián Rojas,Voleibol,32.0,91.1,167.0,82.0,24.7,9.99,portero
Francisca Lagos,Baloncesto,28.0,61.7,170.0,45.0,21.5,5.68,delantero
Daniela Vargas,Ciclismo,20.0,103.8,165.0,47.0,7.7,4.01,delantero 
Cristian Medina,Voleibol,35.0,64.7,173.0,51.0,20.8,7.06,atacante
Claudia Herrera,Rugby,16.0,83.8,185.0,64.0,16.4,5.552869109947644,DELANTERO
Daniela Vargas,Tenis,42.0,70.9,168.0,51.0,14.3,4.98,defensa
Valentina Ramírez,Natación,28.0,85.6,177.0,79.0,5.2,4.25,Delantero
Juan López,Fútbol,37.0,70.5,165.0,59.0,5.7,6.65,DELANTERO
Ignacio Peña,Voleibol,24.0,67.5,191.0,60.0,22.8,2.3,ATACANTE
Lorena Mendoza,Fútbol,32.0,89.0,183.0,84.0,19.9,5.552869109947644,Atacante
Daniela Vargas,Tenis,16.0,57.4,161.0,79.0,19.7,6.08,DELANTERO
Rodrigo Sandoval,Ciclismo,16.0,70.7,184.0,66.0,17.8,8.88,CICLISTA
Marisol Figueroa,Ciclismo,31.0,101.7,201.0,70.0,20.7,4.12,Nadador
Alejandro Núñez,Baloncesto,17.0,57.0,177.0,68.0,20.6,3.24,ciclista
Valentina Ramírez,Voleibol,45.0,91.8,180.0,63.0,3.8,8.62,Corredor
Roxana Salinas,Ciclismo,28.0,91.2,181.0,81.0,24.0,3.88,DEFENSA
Juan López,Ciclismo,31.12930135557873,97.4,172.0,54.0,5.3,4.0,mediocampista
Cristian Medina,Rugby,27.0,90.2,185.0,63.0,17.3,5.39,defensa
Lorena Mendoza,Natación,39.0,100.6,183.0,83.0,21.3,2.1,DEFENSA
Sofía Hernández,Fútbol,20.0,102.8,175.0,86.0,12.8,3.09,Mediocampista
Lorena Mendoza,Fútbol,39.0,100.6,194.0,47.0,12.2,5.31,Defensa
Enrique Valenzuela,Atletismo,28.0,57.0,158.0,73.0,24.6,6.08,delantero 
Marisol Figueroa,Ciclismo,20.0,88.1,180.0,85.0,20.4,3.78,atacante
Paola Romero,Fútbol,27.0,79.3,175.0,61.0,9.3,1.44,Corredor
Ana Martínez,Ciclismo,22.0,92.4,202.0,84.0,10.2,4.15,corredor
Andrés Flores,Fútbol,17.0,65.0,192.0,86.0,20.2,4.31,
Lorena Mendoza,Fútbol,28.0,87.8,195.0,64.0,11.6,4.39,ATACANTE
Sebastián Rojas,Rugby,36.0,66.0,179.5617088607595,63.0,23.7,4.7,Defensa
Marisol Figueroa,Natación,21.0,66.8,197.0,57.0,17.3,6.98,
Eduardo Soto,Atletismo,35.0,69.7,190.0,45.0,14.9,5.552869109947644,MEDIOCAMPISTA
Ricardo Álvarez,Voleibol,34.0,60.6,184.0,84.0,5.1,5.95,delantero
Pilar Contreras,Baloncesto,32.0,63.3,175.0,58.0,8.7,4.75,
María González,Atletismo,29.0,69.4,199.0,69.50026329647183,24.4,8.69,ciclista
Marisol Figueroa,Natación,41.0,78.4,178.0,78.0,17.9,-5.0,PORTERO
Juan López,Voleibol,44.0,98.4,175.0,53.0,13.5,7.18,defensa
Patricio Bravo,Natación,25.0,103.0,202.0,46.0,6.2,4.91,Portero
Javiera Espinoza,Baloncesto,32.0,77.1,175.0,65.0,19.5,7.58,Defensa
Tomás Gutiérrez,Fútbol,44.0,58.6,179.5617088607595,86.0,20.2,2.01,Corredor
Enrique Valenzuela,Baloncesto,28.0,58.1,175.0,62.0,12.0,3.8,Corredor
Gabriela Morales,Baloncesto,38.0,85.0,179.5617088607595,89.0,3.5,4.93,Nadador
Mónica Ortega,Boxeo,22.0,90.0,201.0,45.0,12.7,6.85,Nadador
Héctor Suárez,Tenis,37.0,82.6,188.0,67.0,6.0,8.05,defensa
Gabriela Morales,Tenis,31.12930135557873,95.2,180.0,69.50026329647183,24.9,1.18,Ciclista
Patricia Ramos,Tenis,17.0,72.0,194.0,85.0,16.4,1.19,mediocampista
Nicolás Reyes,Ciclismo,17.0,81.7,163.0,57.0,23.2,5.27,Corredor
Sofía Hernández,Tenis,34.0,98.5,162.0,77.0,10.7,1.93,Portero
Nicolás Reyes,Natación,16.0,83.7,179.0,63.0,0.1,8.01,delantero
César Sepúlveda,Baloncesto,30.0,83.8,173.0,57.0,6.3,9.96,
Diego Torres,Ciclismo,34.0,60.0,199.0,85.0,21.0,3.54,
Matías Silva,Voleibol,40.0,66.7,202.0,79.0,17.4,5.01,Portero
Enrique Valenzuela,Rugby,43.0,60.5,197.0,47.0,6.6,5.56,ciclista
Manuel Leal,Natación,41.0,85.7,182.0,69.50026329647183,23.9,1.16,Delantero
Rodrigo Sandoval,Tenis,36.0,68.3,179.0,73.0,13.3,-5.0,ATACANTE
Luis Parra,Voleibol,20.0,87.6,192.0,72.0,9.7,5.49,
Mónica Ortega,Natación,33.0,70.4,196.0,76.0,7.8,8.29,atacante
Camila Díaz,Atletismo,41.0,59.9,168.0,57.0,12.8,5.24,nadador
Camila Díaz,Tenis,20.0,69.0,183.0,75.0,23.2,5.552869109947644,ciclista
Cristian Medina,Atletismo,45.0,76.2,200.0,75.0,10.7,7.78,PORTERO
Roxana Salinas,Voleibol,40.0,74.4,185.0,63.0,11.9,3.2,delantero 
María González,Natación,26.0,91.4,184.0,45.0,5.6,9.68,MEDIOCAMPISTA
Gabriela Morales,Voleibol,41.0,69.2,173.0,57.0,24.6,8.98,corredor
Diego Torres,Atletismo,28.0,55.6,160.0,73.0,20.9,4.52,portero
Felipe Muñoz,Fútbol,20.0,90.1,171.0,80.0,5.0,1.28,delantero 
Daniela Vargas,Voleibol,26.0,92.5,196.0,62.0,7.2,8.0,nadador
Héctor Suárez,Rugby,3.0,61.0,168.0,83.0,21.4,3.99,delantero 
Marcela Varela,Fútbol,24.0,73.0,164.0,65.0,23.3,4.64,atacante
Héctor Suárez,Ciclismo,41.0,69.5,159.0,60.0,17.8,5.23,DEFENSA
Francisca Lagos,Voleibol,31.12930135557873,91.1,198.0,67.0,10.3,6.98,
Mauricio Vega,Ciclismo,28.0,102.0,162.0,350.0,24.8,9.97,Ciclista
Lorena Mendoza,Atletismo,28.0,104.9,191.0,69.0,14.8,5.13,Mediocampista
Fernanda Jiménez,Natación,29.0,68.1,185.0,73.0,15.6,2.99,ATACANTE
Luis Parra,Voleibol,20.0,87.6,192.0,72.0,9.7,5.49,
Carolina Ríos,Natación,20.0,94.9,188.0,65.0,5.3,4.35,
Mauricio Vega,Atletismo,27.0,73.1,170.0,89.0,15.3,1.84,CICLISTA
Verónica Aguilar,Natación,21.0,96.6,200.0,78.0,10.5,3.48,DELANTERO
Mauricio Vega,Natación,42.0,75.0,174.0,71.0,19.7,5.66,nadador
Diego Torres,Natación,41.0,100.8,163.0,85.0,16.6,1.23,Atacante
Ricardo Álvarez,Fútbol,33.0,85.7,195.0,83.0,3.9,7.94,Portero
Ricardo Álvarez,Voleibol,17.0,60.7,201.0,81.0,8.5,6.57,atacante
María González,Rugby,31.0,77.6,181.0,67.0,6.8,8.53,Portero
Carolina Ríos,Natación,23.0,69.3,192.0,68.0,10.1,4.35,Mediocampista
Natalia Cruz,Voleibol,35.0,89.7,175.0,58.0,13.4,8.28,Delantero
César Sepúlveda,Voleibol,43.0,67.5,187.0,80.0,12.6,8.55,CORREDOR
Natalia Cruz,Fútbol,32.0,101.3,171.0,55.0,14.5,2.89,NADADOR
Fernanda Jiménez,Ciclismo,32.0,58.8,199.0,54.0,20.5,5.0,PORTERO
Patricio Bravo,Voleibol,26.0,55.9,165.0,69.0,6.9,2.48,MEDIOCAMPISTA
Alicia Campos,Rugby,36.0,69.2,186.0,63.0,22.1,6.51,mediocampista
Lorena Mendoza,Fútbol,26.0,84.4,181.0,62.0,22.9,5.13,DEFENSA
Camila Díaz,Natación,36.0,66.2,160.0,78.0,17.0,9.28,Corredor
Marisol Figueroa,Fútbol,26.0,78.5,198.0,80.0,12.9,3.29,atacante
Héctor Suárez,Rugby,16.0,80.9,169.0,89.0,15.3,8.1,PORTERO
Héctor Suárez,Natación,44.0,71.1,179.0,85.0,15.0,3.42,ciclista
Verónica Aguilar,Boxeo,45.0,92.6,160.0,77.0,16.1,3.74,Nadador
Sebastián Rojas,Natación,25.0,102.6,183.0,57.0,15.6,7.16,PORTERO
Andrés Flores,Tenis,41.0,97.9,197.0,77.0,6.4,9.1,ATACANTE
Cristian Medina,Tenis,17.0,58.6,193.0,68.0,11.7,3.66,
Pedro Rodríguez,Rugby,33.0,98.4,190.0,54.0,4.3,5.04,PORTERO
Daniela Vargas,Baloncesto,33.0,89.2,184.0,78.0,23.6,5.552869109947644,delantero 
Luis Parra,Ciclismo,39.0,91.6,194.0,60.0,17.5,2.26,atacante
Javiera Espinoza,Baloncesto,29.0,74.1,174.0,54.0,19.1,4.35,ciclista
Enrique Valenzuela,Atletismo,28.0,57.0,158.0,73.0,24.6,6.08,delantero 
Rodrigo Sandoval,Atletismo,18.0,92.8,176.0,63.0,10.6,5.552869109947644,
Catalina Mora,Ciclismo,24.0,71.9,189.0,51.0,14.4,9.68,Defensa
César Sepúlveda,Baloncesto,41.0,64.6,187.0,69.50026329647183,5.1,3.99,Corredor
Rodrigo Sandoval,Natación,44.0,104.0,165.0,78.0,16.3,7.19,CICLISTA
Francisca Lagos,Baloncesto,32.0,56.1,199.0,56.0,11.9,1.54,DELANTERO
Nicolás Reyes,Rugby,29.0,64.1,173.0,54.0,13.0,8.71,CORREDOR
Juan López,Voleibol,27.0,57.3,166.0,80.0,3.6,9.43,defensa 
Rodrigo Sandoval,Voleibol,31.12930135557873,97.9,197.0,88.0,22.3,1.51,ATACANTE
Claudia Herrera,Fútbol,27.0,92.7,158.0,51.0,9.9,4.26,
Natalia Cruz,Fútbol,29.0,55.7,165.0,77.0,23.5,9.86,Atacante
Alicia Campos,Rugby,19.0,84.3,179.5617088607595,62.0,13.0,1.01,MEDIOCAMPISTA
Enrique Valenzuela,Rugby,22.0,79.4,168.0,54.0,23.9,1.6,NADADOR
Claudia Herrera,Voleibol,40.0,61.4,177.0,90.0,4.7,5.59,delantero 
Gonzalo Fuentes,Voleibol,40.0,72.6,200.0,51.0,9.8,1.81,portero
Gonzalo Fuentes,Fútbol,38.0,57.2,174.0,73.0,15.3,6.55,ATACANTE
Nicolás Reyes,Fútbol,20.0,68.9,191.0,84.0,20.3,5.93,MEDIOCAMPISTA
Camila Díaz,Ciclismo,36.0,99.6,173.0,69.50026329647183,24.4,4.92,Portero
Carlos Pérez,Fútbol,26.0,61.4,178.0,66.0,17.9,4.0,CORREDOR
Carolina Ríos,Atletismo,28.0,103.6,177.0,69.50026329647183,9.9,1.53,MEDIOCAMPISTA
Ricardo Álvarez,Tenis,30.0,81.0,184.0,59.0,18.8,2.22,DELANTERO
Tomás Gutiérrez,Fútbol,45.0,98.8,170.0,51.0,23.8,1.3,Corredor
Claudia Herrera,Atletismo,31.0,84.3,168.0,52.0,14.6,5.24,Ciclista
Francisca Lagos,Natación,39.0,95.7,167.0,56.0,13.9,6.73,Defensa
Natalia Cruz,Natación,36.0,73.0,202.0,54.0,24.9,3.0,Nadador
Mauricio Vega,Rugby,44.0,60.5,175.0,70.0,0.1,-5.0,atacante
Roxana Salinas,Tenis,29.0,59.0,300.0,69.50026329647183,8.7,7.27,mediocampista
Catalina Mora,Natación,43.0,97.3,164.0,57.0,10.3,2.52,corredor
María González,Fútbol,23.0,78.7,179.0,64.0,7.2,2.67,DEFENSA
Manuel Leal,Natación,22.0,78.1,196.0,70.0,18.7,1.53,nadador
Manuel Leal,Atletismo,4.0,69.0,300.0,57.0,20.7,3.14,DEFENSA
Roberto Castillo,Baloncesto,32.0,67.7,176.0,80.0,23.8,2.84,
Andrés Flores,Boxeo,40.0,59.8,188.0,89.0,12.3,9.89,corredor
Roxana Salinas,Atletismo,33.0,75.9,191.0,75.0,17.8,5.71,mediocampista
Valentina Ramírez,Tenis,30.0,92.3,200.0,67.0,20.9,7.64,delantero 
Daniela Vargas,Natación,18.0,85.1,170.0,68.0,13.4,1.58,Delantero
Isabella Castro,Fútbol,39.0,79.7,177.0,55.0,13.0,3.45,CORREDOR
Marisol Figueroa,Fútbol,16.0,99.5,172.0,46.0,13.4,8.84,corredor
Lorena Mendoza,Voleibol,34.0,60.4,179.5617088607595,61.0,10.4,1.22,Atacante
Valentina Ramírez,Fútbol,34.0,80.2,193.0,71.0,3.4,7.87,Ciclista
Marisol Figueroa,Rugby,27.0,60.7,162.0,84.0,16.7,8.76,corredor
Ana Martínez,Boxeo,45.0,99.1,182.0,61.0,21.1,5.552869109947644,defensa
Javiera Espinoza,Voleibol,39.0,104.2,197.0,87.0,16.9,4.09,atacante
Diego Torres,Atletismo,34.0,76.0,192.0,75.0,16.4,6.82,DELANTERO
Roberto Castillo,Tenis,21.0,104.7,192.0,88.0,17.5,7.48,portero
César Sepúlveda,Baloncesto,17.0,80.9,201.0,56.0,12.7,5.07,atacante
Isabella Castro,Fútbol,19.0,86.9,172.0,65.0,18.1,3.91,DEFENSA
Diego Torres,Atletismo,31.12930135557873,97.5,183.0,62.0,6.2,2.71,
Claudia Herrera,Natación,19.0,80.5,173.0,84.0,17.4,6.44,corredor
Cristian Medina,Rugby,31.12930135557873,73.5,198.0,89.0,16.9,1.08,ciclista
Daniela Vargas,Baloncesto,22.0,99.4,160.0,68.0,22.2,7.18,mediocampista
Marisol Figueroa,Rugby,19.0,81.4,192.0,69.50026329647183,23.3,2.67,ciclista
Lorena Mendoza,Voleibol,19.0,103.7,181.0,58.0,0.1,5.17,
Roberto Castillo,Voleibol,20.0,57.3,177.0,54.0,9.6,7.44,atacante
Carlos Pérez,Tenis,27.0,61.1,192.0,45.0,5.1,3.19,Mediocampista
Héctor Suárez,Tenis,24.0,73.1,196.0,69.50026329647183,4.2,4.46,Ciclista
Verónica Aguilar,Fútbol,40.0,70.8,30.0,48.0,12.9,4.97,atacante
Eduardo Soto,Natación,22.0,103.6,179.5617088607595,300.0,18.4,4.17,Corredor
Roxana Salinas,Natación,39.0,99.8,166.0,73.0,9.7,4.66,atacante
Tomás Gutiérrez,Voleibol,35.0,68.7,166.0,77.0,21.9,2.81,CORREDOR
César Sepúlveda,Tenis,23.0,61.8,188.0,54.0,19.7,1.8,defensa
Patricia Ramos,Ciclismo,20.0,104.6,186.0,49.0,18.4,7.57,Delantero
Mónica Ortega,Ciclismo,35.0,55.5,158.0,51.0,23.2,5.52,CORREDOR
César Sepúlveda,Baloncesto,28.0,65.6,194.0,66.0,4.0,9.36,defensa
Cristian Medina,Fútbol,27.0,80.9,166.0,48.0,9.4,2.84,DEFENSA
César Sepúlveda,Tenis,39.0,64.3,165.0,56.0,20.8,4.97,CORREDOR
Patricio Bravo,Fútbol,19.0,59.2,195.0,61.0,16.8,1.01,ciclista
Paola Romero,Fútbol,33.0,87.7,164.0,70.0,6.5,8.84,defensa 
Gonzalo Fuentes,Voleibol,18.0,75.7,176.0,82.0,6.3,5.89,Nadador
Matías Silva,Fútbol,24.0,59.6,189.0,57.0,21.6,8.14,corredor
Cristian Medina,Tenis,35.0,74.2,173.0,70.0,18.6,6.95,mediocampista
Gonzalo Fuentes,Rugby,28.0,59.3,186.0,72.0,13.3,6.83,NADADOR
Gabriela Morales,Atletismo,24.0,81.7,188.0,87.0,13.7,7.06,CICLISTA
Rodrigo Sandoval,Natación,21.0,103.5,176.0,83.0,6.8,8.38,defensa
Juan López,Rugby,26.0,66.7,195.0,60.0,16.0,7.95,Delantero
Daniela Vargas,Voleibol,29.0,86.6,197.0,63.0,18.1,1.16,Mediocampista
Ana Martínez,Fútbol,45.0,88.5,158.0,64.0,5.9,2.53,nadador
Roxana Salinas,Ciclismo,44.0,102.4,171.0,83.0,3.1,7.91,
Fernanda Jiménez,Natación,30.0,91.7,202.0,45.0,3.3,2.97,portero
Andrés Flores,Natación,25.0,75.4,195.0,350.0,21.7,3.5,delantero
Roxana Salinas,Boxeo,37.0,81.7,185.0,72.0,22.6,9.07,MEDIOCAMPISTA
Francisca Lagos,Boxeo,16.0,87.4,194.0,69.50026329647183,13.3,7.66,portero
Roxana Salinas,Boxeo,37.0,76.0,199.0,90.0,21.3,5.85,defensa 
Héctor Suárez,Baloncesto,33.0,82.0,186.0,79.0,7.6,2.52,
Carlos Pérez,Tenis,41.0,91.8,179.5617088607595,78.0,21.4,7.9,Mediocampista
Roxana Salinas,Natación,45.0,88.1,189.0,51.0,24.3,4.66,PORTERO
Roberto Castillo,Atletismo,31.0,87.8,169.0,86.0,8.9,7.5,ATACANTE
Daniela Vargas,Rugby,32.0,97.7,158.0,69.50026329647183,11.6,8.5,atacante
Isabella Castro,Ciclismo,29.0,67.1,181.0,66.0,10.9,9.72,CORREDOR
